category	source	location	message
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	26.3-31	/fragment@16/__overlay__/mtdoops_pmsg@0xa7000000:reg: property has invalid length (8 bytes) (#address-cells == 2, #size-cells == 1)
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	42.3-13	/fragment@17/__overlay__/ir-spi@0:reg: property has invalid length (4 bytes) (#address-cells == 2, #size-cells == 1)
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	18.3-16	/fragment@31/__overlay__/aw882xx_smartpa@34:reg: property has invalid length (4 bytes) (#address-cells == 2, #size-cells == 1)
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	34.3-16	/fragment@31/__overlay__/aw882xx_smartpa@35:reg: property has invalid length (4 bytes) (#address-cells == 2, #size-cells == 1)
reg_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	262.3-13	/fragment@38/__overlay__/m16t-touch@0:reg: property has invalid length (4 bytes) (#address-cells == 2, #size-cells == 1)
ranges_format	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/xiaomi-sm8475-common.dtsi	197.2-9	/fragment@27/__overlay__:ranges: empty "ranges" property but its #size-cells (2) differs from /fragment@27 (1)
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	60.20-64.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	66.22-70.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	72.21-76.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	79.19-83.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	85.21-89.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	91.20-95.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	97.19-101.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_vph_pwr: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	104.20-108.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	110.22-114.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	116.21-120.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	122.20-126.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_vph_pwr: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	128.21-132.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_vbat_sns: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	135.20-139.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735a_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	141.22-145.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735a_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	147.21-151.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735a_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	154.20-158.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735b_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	160.22-164.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735b_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/pmk8350.dtsi	166.21-170.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmr735b_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	142.19-146.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_chg_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	148.17-152.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_iin_fb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	154.18-158.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	160.21-165.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb_2x: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	167.23-172.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ichg_fb_2p5x: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	174.26-178.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_in_v_div_16: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	180.21-184.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	186.21-190.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	192.20-196.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_1_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	198.21-202.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_smb_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	204.21-208.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_ichg_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/cape-pmic-overlay.dtsi	210.20-214.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/smb139x_2_iin_smb: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	292.19-298.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_msm_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	300.25-306.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_cam_flash_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	308.26-314.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_hot_pocket_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	316.24-322.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_wide_rfc_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	324.25-330.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_rear_tof_therm: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/poco-f5-gki-618/publish/arch/arm64/boot/dts/qcom/marble-sm7475.dtsi	332.25-338.4	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_usb_conn_therm: node has a reg or ranges property, but no unit name
