category	source	location	message
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	60.20-64.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	66.22-70.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	72.21-76.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pmk8350_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	79.19-83.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	85.21-89.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	91.20-95.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_die_temp: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	97.19-101.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350_vph_pwr: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	104.20-108.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_ref_gnd: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	110.22-114.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_vref_1p25: node has a reg or ranges property, but no unit name
unit_address_vs_reg	/home/ubuntu/work/Kernel-6.18-LTS-build/arch/arm64/boot/dts/qcom/pmk8350.dtsi	116.21-120.6	/fragment@1/__overlay__/qcom,pmk8350@0/vadc@3100/pm8350b_die_temp: node has a reg or ranges property, but no unit name
