symbol	reference_value	candidate_value	status
CONFIG_ARCH_CAPE	y	n	missing
CONFIG_ARCH_DIWALI	y	n	missing
CONFIG_ARCH_WAIPIO	y	n	missing
CONFIG_ARM_QCOM_CPUFREQ_HW	m	n	missing
CONFIG_ARM_QCOM_CPUFREQ_HW_DEBUG	m	n	missing
CONFIG_ARM_SMMU	m	n	missing
CONFIG_ARM_SMMU_CONTEXT_FAULT_RETRY	y	n	missing
CONFIG_ARM_SMMU_DISABLE_BYPASS_BY_DEFAULT	y	n	missing
CONFIG_BQ_FG_UPDATE	y	n	missing
CONFIG_BTFM_SLIM	m	n	missing
CONFIG_BUS_AUTO_SUSPEND	y	n	missing
CONFIG_CFG80211	m	n	missing
CONFIG_CFG80211_CRDA_SUPPORT	y	n	missing
CONFIG_CFG80211_DEFAULT_PS	y	n	missing
CONFIG_CFG80211_REQUIRE_SIGNED_REGDB	y	n	missing
CONFIG_CFG80211_USE_KERNEL_REGDB_KEYS	y	n	missing
CONFIG_CHR_DEV_SG	m	n	missing
CONFIG_CNSS2	m	n	missing
CONFIG_CNSS2_QMI	y	n	missing
CONFIG_CNSS_GENL	m	n	missing
CONFIG_CNSS_UTILS	m	n	missing
CONFIG_COMMON_CLK_QCOM	m	n	missing
CONFIG_CORESIGHT	m	n	missing
CONFIG_CORESIGHT_CTI	m	n	missing
CONFIG_CORESIGHT_DUMMY	m	n	missing
CONFIG_CORESIGHT_HWEVENT	m	n	missing
CONFIG_CORESIGHT_LINKS_AND_SINKS	m	n	missing
CONFIG_CORESIGHT_LINK_AND_SINK_TMC	m	n	missing
CONFIG_CORESIGHT_REMOTE_ETM	m	n	missing
CONFIG_CORESIGHT_STM	m	n	missing
CONFIG_CORESIGHT_TGU	m	n	missing
CONFIG_CORESIGHT_TPDA	m	n	missing
CONFIG_CORESIGHT_TPDM	m	n	missing
CONFIG_CPU_IDLE_GOV_QCOM_LPM	m	n	missing
CONFIG_CRYPTO_DEV_QCEDEV	m	n	missing
CONFIG_CRYPTO_DEV_QCOM_MSM_QCE	m	n	missing
CONFIG_DEVFREQ_GOV_QCOM_ADRENO_TZ	m	n	missing
CONFIG_DEVFREQ_GOV_QCOM_GPUBW_MON	m	n	missing
CONFIG_DRM_LONTIUM_LT9611UXC	m	n	missing
CONFIG_EDAC_KRYO_ARM64	m	n	missing
CONFIG_EDAC_KRYO_ARM64_PANIC_ON_UE	y	n	missing
CONFIG_EDAC_QCOM	m	n	missing
CONFIG_EDAC_QCOM_LLCC_PANIC_ON_UE	y	n	missing
CONFIG_EP_PCIE	m	n	missing
CONFIG_FTS_TRUSTED_TOUCH	y	n	missing
CONFIG_GH_ARM64_DRV	m	n	missing
CONFIG_GH_CTRL	m	n	missing
CONFIG_GH_DBL	m	n	missing
CONFIG_GH_IRQ_LEND	m	n	missing
CONFIG_GH_MEM_NOTIFIER	m	n	missing
CONFIG_GH_MSGQ	m	n	missing
CONFIG_GH_RM_DRV	m	n	missing
CONFIG_GH_VIRTIO_BACKEND	m	n	missing
CONFIG_GH_VIRT_WATCHDOG	m	n	missing
CONFIG_GUNYAH_DRIVERS	y	n	missing
CONFIG_HAVE_CHARGE_TEMP	y	n	missing
CONFIG_HDCP_QSEECOM	m	n	missing
CONFIG_HVC_GUNYAH	m	n	missing
CONFIG_HWMON	m	n	missing
CONFIG_HWSPINLOCK_QCOM	m	n	missing
CONFIG_HW_RANDOM_MSM_LEGACY	m	n	missing
CONFIG_I2C_EUSB2_REPEATER	m	n	missing
CONFIG_I2C_MSM_GENI	m	n	missing
CONFIG_I2C_RTC6226_QCA	m	n	missing
CONFIG_I3C_MASTER_MSM_GENI	m	n	missing
CONFIG_ICNSS2	m	n	missing
CONFIG_ICNSS2_QMI	y	n	missing
CONFIG_INPUT_PM8941_PWRKEY	m	n	missing
CONFIG_INPUT_QCOM_HV_HAPTICS	m	n	missing
CONFIG_INTERCONNECT_QCOM	m	y	enabled
CONFIG_INTERCONNECT_QCOM_DEBUG	m	n	missing
CONFIG_INTERCONNECT_QCOM_DIWALI	m	n	missing
CONFIG_INTERCONNECT_QCOM_PARROT	m	n	missing
CONFIG_INTERCONNECT_QCOM_WAIPIO	m	n	missing
CONFIG_INTERCONNECT_TEST	m	n	missing
CONFIG_IOMMU_IO_PGTABLE_FAST	y	n	missing
CONFIG_IPA3	m	n	missing
CONFIG_IPC_LOGGING	m	n	missing
CONFIG_LEDS_QPNP_VIBRATOR_LDO	m	n	missing
CONFIG_LEDS_QTI_FLASH	m	n	missing
CONFIG_LEDS_QTI_TRI_LED	m	n	missing
CONFIG_MAC80211	m	n	missing
CONFIG_MAC80211_HAS_RC	y	n	missing
CONFIG_MAC80211_RC_DEFAULT_MINSTREL	y	n	missing
CONFIG_MAC80211_RC_MINSTREL	y	n	missing
CONFIG_MEM_SHARE_QMI_SERVICE	m	n	missing
CONFIG_MFD_I2C_PMIC	m	n	missing
CONFIG_MFD_SPMI_PMIC	m	n	missing
CONFIG_MHI_BUS	m	n	missing
CONFIG_MHI_BUS_MISC	y	n	missing
CONFIG_MHI_DTR	m	n	missing
CONFIG_MHI_NETDEV	m	n	missing
CONFIG_MHI_QCOM	m	n	missing
CONFIG_MHI_UCI	m	n	missing
CONFIG_MMC_CRYPTO_QTI	m	n	missing
CONFIG_MMC_SDHCI_MSM	m	n	missing
CONFIG_MSM_ADSPRPC	m	n	missing
CONFIG_MSM_BOOT_STATS	m	n	missing
CONFIG_MSM_BT_POWER	m	n	missing
CONFIG_MSM_CAMCC_WAIPIO	m	n	missing
