module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
adsp_loader_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
adsp_sleepmon.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
altmode-glink.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
arm_smmu.ko	modules	ack_source_candidate	drivers/iommu/arm/arm-smmu-v3/Makefile;drivers/iommu/arm/arm-smmu/Makefile;drivers/perf/Makefile	drivers/iommu/arm/arm-smmu-v3/Makefile;drivers/iommu/arm/arm-smmu/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
asix.ko	modules	built_6_18_module	drivers/net/usb/Makefile	drivers/net/ethernet/Makefile;drivers/net/usb/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
atmel_mxt_ts.ko	modules	ack_source_candidate	drivers/input/touchscreen/Makefile	drivers/input/touchscreen/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
audio_pkt_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
audio_prm_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
audpkt_ion_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
aw862xx_haptic.ko	modules	reference_source_only	drivers/input/misc/aw8622x_haptic/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
aw8697-haptic.ko	modules	reference_source_only	drivers/input/misc/aw86927_haptic/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
aw882xx_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ax88179_178a.ko	modules	built_6_18_module	drivers/net/usb/Makefile	drivers/net/usb/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
bam_dma.ko	modules	ack_source_candidate	drivers/dma/qcom/Makefile	drivers/dma/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
bcl_pmic5.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
bcl_soc.ko	modules	reference_source_only	drivers/thermal/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
block2mtd.ko	modules	ack_source_candidate	drivers/mtd/devices/Makefile	drivers/mtd/devices/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
boot_stats.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
bt_fm_slim.ko	modules	reference_source_only	drivers/bluetooth/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
btpower.ko	modules	reference_source_only	drivers/bluetooth/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
bwmon.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
c1dcvs_scmi.ko	modules	reference_source_only	drivers/soc/qcom/dcvs/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
c1dcvs_vendor.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
camcc-diwali.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
camcc-waipio.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
camera.ko	modules	ack_source_candidate	drivers/staging/greybus/Makefile;drivers/staging/media/atomisp/Makefile	drivers/staging/greybus/Makefile;drivers/staging/media/atomisp/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
cdsp-loader.ko	modules	reference_source_only	drivers/soc/qcom/qdsp6v2/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
cdsprm.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
