dt-bindings/arm/msm/qcom_dma_heap_dt_constants.h	present
dt-bindings/clock/qcom,aop-qmp.h	present
dt-bindings/clock/qcom,camcc-waipio.h	present
dt-bindings/clock/qcom,dispcc-waipio.h	present
dt-bindings/clock/qcom,gcc-waipio.h	present
dt-bindings/clock/qcom,gpucc-waipio.h	present
dt-bindings/clock/qcom,rpmh.h	present
dt-bindings/clock/qcom,videocc-waipio.h	present
dt-bindings/gpio/gpio.h	present
dt-bindings/iio/qcom,spmi-adc7-pm8350.h	present
dt-bindings/iio/qcom,spmi-adc7-pm8350b.h	present
dt-bindings/iio/qcom,spmi-adc7-pmk8350.h	present
dt-bindings/iio/qcom,spmi-adc7-pmr735a.h	present
dt-bindings/iio/qcom,spmi-adc7-pmr735b.h	present
dt-bindings/iio/qcom,spmi-adc7-smb139x.h	present
dt-bindings/input/input.h	present
dt-bindings/input/qcom,hv-haptics.h	present
dt-bindings/input/qcom,qpnp-power-on.h	present
dt-bindings/interconnect/qcom,icc.h	present
dt-bindings/interconnect/qcom,waipio.h	present
dt-bindings/interrupt-controller/arm-gic.h	present
dt-bindings/interrupt-controller/irq.h	present
dt-bindings/phy/qcom,usb3-4nm-qmp-combo.h	present
dt-bindings/pinctrl/qcom,pmic-gpio.h	present
dt-bindings/regulator/qcom,rpmh-regulator-levels.h	present
dt-bindings/soc/qcom,dcc_v2.h	present
dt-bindings/soc/qcom,ipcc.h	present
dt-bindings/soc/qcom,rpmh-rsc.h	present
dt-bindings/spmi/spmi.h	present
dt-bindings/thermal/thermal_qti.h	present
